Etunimi;Lukumäärä
Kimi;1489
Birger;1488
Adam;1484
Aslak;1479
Vertti;1470
Albin;1469
Rauli;1440
Tuure;1433
Nikolas;1430
Jan-Erik;1426
Casper;1420
Elis;1419
Raine;1416
Eemi;1411
Timi;1410
Edward;1389
Ahmed;1372
Börje;1366
Salomon;1365
Ulf;1343
Bror;1327
Ingmar;1326
Georg;1321
Jari-Pekka;1319
Harald;1319
Ilmo;1311
Auvo;1298
Iikka;1288
Linus;1288
Mico;1277
Jiri;1269
Jarl;1268
Milo;1252
Taito;1250
Alf;1237
Petrus;1231
Waldemar;1226
Kevin;1223
Arthur;1216
Kristoffer;1216
Alvari;1200
Väinämö;1170
Sampsa;1161
Rudolf;1161
Arne;1154
Vilhelmi;1148
Isak;1146
Nicolas;1140
Valto;1128
Kasimir;1128
Jens;1103
Walter;1103
Visa;1096
Adolf;1096
Altti;1082
Christopher;1072
Uljas;1070
Iisak;1065
Filip;1065
Erkka;1051
Elia;1040
James;1031
Kjell;1031
Niki;1030
Nicholas;1016
Emanuel;1013
Noah;1011
Torsten;1006
Helmer;1000
Niclas;998
Ville-Veikko;993
Vincent;984
Adrian;980
Holger;980
André;980
Tor;977
Isto;972
Bertel;968
Jooseppi;955
Ragnar;950
Tiitus;948
Marco;946
Hjalmar;943
Eevertti;941
Ben;940
Paulus;939
Ole;933
Aatto;930
Jose;917
Joose;914
Leon;914
Artur;912
Viking;905
Konstantin;893
Okko;889
Torsti;884
Aksel;881
Bjarne;876
Jakob;876
Usko;873
Simeon;873
Teo;864
Antonio;858
Wiljami;855
Cristian;854
Jon;853
Benjam;852
Johnny;850
Asseri;847
Jimmy;841
Roy;840
Elmer;828
Uuno;820
Sakarias;818
Ivar;816
Sasu;812
Miikkael;805
Vesa-Matti;802
Oula;797
Maximilian;795
Hemmo;794
Andrei;786
Jussi-Pekka;785
Yrjänä;778
Elliot;776
Valfrid;773
Dennis;773
Ove;772
Niila;771
Leander;770
Osvald;769
Alfons;744
Noa;744
Olav;739
Benjami;734
Aron;733
Teodor;732
Aamos;728
Kauno;725
Mauritz;723
Liam;722
Anthony;718
Manuel;716
Gösta;710
Arimo;709
Roland;707
Frank;702
Iivo;699
Jim;696
Turo;696
Anselm;694
Atso;694
Ilja;694
Marius;694
Mio;691
Rune;691
Miikael;689
Boris;689
Valtter;687
Tim;677
Into;675
Jonni;665
Antinpoika;665
Jörgen;662
Venni;661
Dimitri;660
Valo;656
Mark;653
Ferdinand;653
Romeo;646
Amos;641
Rene;638
Runar;637
Bruno;635
Ylermi;635
Jeremia;634
Ruben;629
Erland;624
Joachim;622
Omar;621
Ernst;618
Reko;618
Guy;618
Hassan;617
Raino;615
Toimi;615
Casimir;614
Immanuel;612
Arno;609
Herbert;608
Micael;605
Jesperi;600
Otava;597
Nestor;597
Bertil;596
Evald;595
Petja;593
Sam;585
Philip;584
Werner;582
Eppu;580
Sten;579
Julian;575
Yngve;574
Ibrahim;572
Matts;568
Aleksei;564
Eugen;564
Sameli;561
Tage;558
Pekko;555
Charles;553
Fabian;552
Theo;551
Mirko;551
Miki;549
Vladimir;548
Jare;546
Pontus;544
Juri;541
Juhanpoika;541
Matinpoika;541
Vesa-Pekka;538
Abdi;537
Ville-Pekka;537
Sylvester;535
Antto;533
Zacharias;533
Orvo;529
Dani;528
Joosua;527
Mohammed;525
Jacob;523
Arnold;521
Jean;520
Nicklas;517
Jasu;514
Salomo;514
Mohammad;512
Kent;508
Klas;507
Reinhold;507
Soini;505
Kaius;503
Arsi;499
Raineri;497
Valde;496
Aatami;493
Torbjörn;492
Neo;491
Abdullahi;490
Hilding;487
Karl-Erik;483
Ivan;482
Esaias;481
Kari-Pekka;480
Antti-Jussi;480
Helmeri;475
Ingemar;475
Kaino;470
Osku;468
Turkka;467
Ronny;466
Torvald;464
Theodor;464
Maunu;463
Ludvig;462
Sergei;462
Svante;460
Wiljam;460
Kaspian;459
Torolf;457
Jaro;455
Aleksandr;455
Mikonpoika;454
Samppa;451
Antti-Pekka;444
Wille;443
Aadolf;442
Villiam;440
Asmo;440
Abdirahman;438
Andrew;436
